start,end,text,diff,ja
00:00:00.000,00:00:02.640," And there's a beautiful wedding, people.",0.0,そして美しい結婚式がある。
00:00:02.640,00:00:04.300, I'm sure everybody flew.,0.1200000000000001,みんな飛んだと思うよ。
00:00:04.420,00:00:08.100, And what do I see behind a palm tree where I'm hiding?,0.8399999999999999,私が隠れているヤシの木の後ろに何が見える？
00:00:08.940,00:00:15.300, I see the beautiful wedding cake in a little table with two chairs for the bride and the groom.,0.0,新郎新婦用の椅子が2脚置かれた小さなテーブルに、美しいウエディングケーキが見える。
00:00:15.300,00:00:21.420," Instead of the bride and the groom, there is Lupe and Angie sitting perfectly.",0.2399999999999984,花嫁と花婿の代わりに、ルーペとアンジーがぴったりと座っている。
00:00:21.660,00:00:25.500, And everybody's trying to get the dogs.,0.2399999999999984,そして誰もが犬を捕まえようとしている。
00:00:25.740,00:00:29.440," And they really are not mean dogs, but they were faking it really well.",0.0,そして、彼らは本当に意地悪な犬ではないのだが、本当にうまくごまかしていた。
00:00:29.440,00:00:30.700, This is what they would do.,0.0800000000000018,これが彼らのやることだ。
00:00:30.780,00:00:34.300," They'd like, dog, dog, dog, dog, dog, eat as fast as they could.",0.0,犬、犬、犬、犬、犬、犬、犬、犬、犬、犬、犬、犬、犬、犬
00:00:34.300,00:00:36.000," And then they would go, rawr!",,そして、彼らは唸るんだ！
